Time,Load,Temperature,Day,Month,Hour,Day_of_week,Is_holiday
2021-06-10 06:00:00,52535.1,13.0,10,6,6,3,0
2021-08-08 22:00:00,46306.3,14.3,8,8,22,6,0
2021-11-29 01:00:00,49460.8,0.1,29,11,1,0,0
2021-12-07 07:00:00,70544.4,0.5,7,12,7,1,0
2021-01-23 18:00:00,63190.6,1.6,23,1,18,5,0
2021-02-06 20:00:00,61939.8,0.9,6,2,20,5,0
2021-08-09 18:00:00,58052.3,20.7,9,8,18,0,0
2021-07-13 19:00:00,63289.8,20.3,13,7,19,1,0
2021-11-13 09:00:00,58529.4,4.0,13,11,9,5,0
2021-08-17 08:00:00,62000.7,11.8,17,8,8,1,0
2021-11-26 13:00:00,73109.0,2.6,26,11,13,4,0
2021-07-22 00:00:00,47668.1,15.3,22,7,0,3,0
2021-01-26 09:00:00,72982.6,-0.6,26,1,9,1,0
2021-01-08 07:00:00,63372.3,-0.5,8,1,7,4,0
2021-11-02 00:00:00,47764.8,6.8,2,11,0,1,0
2021-04-20 09:00:00,67152.1,6.7,20,4,9,1,0
2021-05-29 08:00:00,50233.4,9.6,29,5,8,5,0
2021-02-04 17:00:00,68129.3,5.2,4,2,17,3,0
2021-10-20 03:00:00,49733.5,11.8,20,10,3,2,0
2021-08-19 12:00:00,67139.7,17.6,19,8,12,3,0
2021-05-01 13:00:00,50454.9,10.4,1,5,13,5,1
2021-08-12 14:00:00,62202.9,25.4,12,8,14,3,0
2021-01-17 22:00:00,57519.3,-1.6,17,1,22,6,0
2021-01-18 07:00:00,66970.0,-0.3,18,1,7,0,0
2021-06-28 05:00:00,45414.4,15.6,28,6,5,0,0
2021-06-27 01:00:00,39777.1,15.1,27,6,1,6,0
2021-09-07 13:00:00,64763.2,21.2,7,9,13,1,0
2021-11-08 19:00:00,69453.9,6.1,8,11,19,0,0
2021-07-29 04:00:00,45421.2,14.9,29,7,4,3,0
2021-09-26 09:00:00,47218.9,15.0,26,9,9,6,0
2021-03-12 16:00:00,68381.2,8.0,12,3,16,4,0
2021-09-04 12:00:00,53991.7,18.5,4,9,12,5,0
2021-05-09 11:00:00,51404.7,19.7,9,5,11,6,0
2021-12-24 21:00:00,49530.1,2.7,24,12,21,4,0
2021-03-20 01:00:00,50026.1,-2.2,20,3,1,5,0
2021-04-06 18:00:00,68375.6,1.8,6,4,18,1,0
2021-12-19 22:00:00,57082.7,2.9,19,12,22,6,0
2021-01-03 19:00:00,58260.7,0.5,3,1,19,6,0
2021-08-01 05:00:00,37663.9,13.5,1,8,5,6,0
2021-02-11 23:00:00,64605.0,-9.3,11,2,23,3,0
2021-04-04 04:00:00,39453.6,0.4,4,4,4,6,0
2021-01-18 06:00:00,59193.7,-0.5,18,1,6,0,0
2021-02-25 11:00:00,69100.9,12.9,25,2,11,3,0
2021-08-12 12:00:00,64355.8,23.8,12,8,12,3,0
2021-05-11 07:00:00,60100.4,12.1,11,5,7,1,0
2021-08-15 06:00:00,38139.6,14.4,15,8,6,6,0
2021-08-01 21:00:00,46534.2,15.6,1,8,21,6,0
2021-08-23 15:00:00,63731.6,18.3,23,8,15,0,0
2021-02-26 08:00:00,67644.1,4.4,26,2,8,4,0
2021-01-11 02:00:00,51928.4,-3.5,11,1,2,0,0
2021-09-16 10:00:00,67653.0,15.8,16,9,10,3,0
2021-06-13 04:00:00,39139.2,11.8,13,6,4,6,0
2021-06-02 00:00:00,47454.3,13.1,2,6,0,2,0
2021-05-14 23:00:00,47583.0,8.9,14,5,23,4,0
2021-02-12 05:00:00,59980.5,-11.0,12,2,5,4,0
2021-09-18 01:00:00,43511.5,11.7,18,9,1,5,0
2021-11-13 14:00:00,58216.1,6.7,13,11,14,5,0
